Company_Name,Company_License,Shipment_ID,Origin,Destination,Planned_Route,Actual_Route,Planned_Timestamp,Actual_Timestamp,Delay_Hours,Delivered_Invoice_ID,Generated_Invoice_ID,Expected_Warehouse,Actual_Warehouse,Customer_Complaint,Route_Deviation,Invoice_Mismatch_Flag,Warehouse_Mismatch_Flag,Complaint_Count,True_Label,Company,Timestamp_Mismatch,Invoice_Mismatch,Warehouse_Mismatch
Shree Logistics,LIC-001015,1c9380a2-a87a-41b0-ab61-a973b2a854e6,Chennai,Amritsar,Chennai -> Ahmedabad via NH10,Nashik -> Mysore via NH38,2018-04-23 10:44:40,2018-12-24 06:18:46,23.1368,GEN-03bfe8,GEN-d1ed72,Mumbai_WH,Rivigo_ALT_WH_9,No Complaint,0,0,0,3,0,LogiTrust,,,
Aparna Freight,LIC-001019,d0590fd7-42e8-4b90-89dc-3535172a59df,Pimpri,Jalandhar,Delhi -> Mysore via NH55,Surat -> Agra via NH34,2018-06-15 11:29:26,2020-09-22 05:39:43,28.4592,DEL-ERR-60961,GEN-15d9f0,Indore_WH,Rivigo_ALT_WH_48,No Complaint,1,0,0,1,0,LogiTrust,,,
Allcargo,LIC-001005,6cf8a868-8a95-4c9a-a5d7-7fd9338a36a9,Bhagalpur,Nashik,Rajkot -> Vijayawada via NH44,Jodhpur -> Vadodara via NH55,2018-03-03 05:09:04,2018-08-12 11:21:10,28.8664,GEN-385033,GEN-f775d4,Vijayawada_WH,Delhivery_ALT_WH_23,No Complaint,0,1,0,-2,0,SafeTrans,,,
Prime Couriers,LIC-001008,5c4ed5f9-e51a-45e5-af97-9841f6bc6c10,Vijayawada,Faridabad,Ahmedabad -> Chennai via NH54,Bhopal -> Faridabad via NH22,2019-07-03 02:30:59,2018-04-08 18:00:52,22.9499,GEN-0abc97,GEN-3eb805,Vijayawada_WH,FedEx India_ALT_WH_26,No Complaint,0,0,0,-1,0,LogiTrust,,,
National Cargo,LIC-001022,a8caca46-de2b-4168-b165-7450952d9fab,Meerut,Mumbai,Kolkata -> Surat via NH28,Aligarh -> Jaipur via NH31,2020-10-23 15:26:39,2020-04-05 00:18:57,12.1329,GEN-1e5381,GEN-91ac90,Jodhpur_WH,RedExpress Logistics_ALT_WH_32,No Complaint,0,0,0,2,0,CargoPro,,,
FedEx India,LIC-001006,f764594c-6f6a-4695-8139-e37644179dce,Mysore,Nashik,Cuttack -> Hyderabad via NH14,Jaipur -> Pune via NH11,2020-06-08 23:12:22,2018-12-06 18:38:37,22.1659,GEN-47558a,GEN-0216c9,Vadodara_WH,Gateway Distriparks_ALT_WH_19,Refund/Return,0,0,0,2,0,SafeTrans,,,
Allcargo,LIC-001018,09bbd531-860c-415b-a2e1-46689e2c046b,Thane,Thane,Pimpri -> Chennai via NH6,Cuttack -> Kanpur via NH55,2019-12-03 01:52:10,2020-09-26 07:49:21,11.9543,DEL-ERR-14627,GEN-615039,Bhagalpur_WH,Mahindra Logistics_ALT_WH_11,No Complaint,1,0,0,2,0,CargoPro,,,
Mahindra Logistics,LIC-001001,3a757083-4e0a-43b7-8677-da4f029ee7ce,Chennai,Siliguri,Noida -> Madurai via NH2,Delhi -> Bhagalpur via NH25,2020-09-03 02:16:47,2019-01-22 02:37:41,34.5695,DEL-ERR-18946,GEN-c9ab13,Nashik_WH,RedExpress Logistics_ALT_WH_15,Refund/Return,0,0,0,0,0,CargoPro,,,
Allcargo,LIC-001006,bdbcff3b-cd43-4f32-8ed9-be958b718152,Coimbatore,Lucknow,Lucknow -> Ahmedabad via NH11,Chennai -> Jodhpur via NH21,2019-05-19 14:21:30,2020-01-17 03:52:01,25.8165,GEN-ccf575,GEN-408856,Jaipur_WH,Gateway Distriparks_ALT_WH_17,No Complaint,1,0,0,4,0,CargoPro,,,
National Cargo,LIC-001002,a5706708-6684-44d0-9601-d606fcc4723c,Madurai,Delhi,Bhopal -> Nagpur via NH25,Delhi -> Meerut -> Jaipur via NH56,2018-04-23 20:30:29,2018-12-16 23:31:58,26.5567,GEN-c699c3,GEN-07f8f4,Vadodara_WH,Ahmedabad_WH,Refund/Return,0,0,0,-1,0,CargoPro,,,
Sparex Couriers,LIC-001013,f99a2d98-6a25-446a-86ba-52c8dee4b3b3,Chennai,Coimbatore,Aligarh -> Faridabad via NH9,Cuttack -> Faridabad -> Mysore via NH45,2020-09-26 14:33:41,2019-03-04 06:06:21,21.6679,GEN-963fe2,GEN-e7488d,Rajkot_WH,Delhivery_ALT_WH_41,No Complaint,1,1,0,1,0,SafeTrans,,,
RedExpress Logistics,LIC-001017,2df9c139-3de1-4d93-bf41-3c0cb9222b29,Patna,Cuttack,Indore -> Vijayawada via NH65,Indore -> Kanpur via NH22,2018-01-17 10:14:40,2019-05-18 03:24:04,25.2659,GEN-813937,GEN-57d347,Jaipur_WH,Gateway Distriparks_ALT_WH_13,Refund/Return,0,0,0,3,1,SafeTrans,,1.0,
Mahindra Logistics,LIC-001005,f764594c-6f6a-4695-8139-e37644179dce,Siliguri,Bhopal,Rourkela -> Rajkot via NH66,Kolkata -> Jaipur via NH16 via_alt_98,2018-03-08 13:41:30,2018-08-31 16:01:06,29.2028,DEL-ERR-32439,GEN-65aab5,Mumbai_WH,Gateway Distriparks_ALT_WH_26,Refund/Return,0,0,0,-1,0,CargoPro,,,
Vijay Packers,LIC-001013,ef65ebf6-c478-4304-9ba4-06e1d41c0f18,Pune,Bhagalpur,Jalandhar -> Nagpur via NH41,Faridabad -> Vijayawada via NH1,2019-01-13 07:29:52,2018-12-21 22:34:26,23.7027,GEN-778276,GEN-656c46,Chennai_WH,Himalayan Transporters_ALT_WH_3,No Complaint,0,0,0,2,0,CargoPro,,,
DHL Express India,LIC-001008,25028289-f6ca-44ed-9f7e-0014bbc1cc3a,Rourkela,Siliguri,Chennai -> Nashik via NH49,Nagpur -> Nashik via NH5,2020-12-12 23:19:52,2019-04-13 08:50:39,22.3563,GEN-b00b55,GEN-696c39,Kolkata_WH,RedExpress Logistics_ALT_WH_26,Refund/Return,0,0,0,-1,0,SafeTrans,,,
Allcargo,LIC-001004,f9ef8da7-4bc7-4ef3-8802-65588a7209dd,Pune,Patna,Surat -> Lucknow via NH37,Patna -> Nagpur via NH20,2018-01-16 02:54:18,2019-01-08 21:45:50,19.918,GEN-ef549e,GEN-166b1b,Amritsar_WH,FedEx India_ALT_WH_26,No Complaint,0,0,0,1,0,SafeTrans,,,
Om Logistics,LIC-001009,69c6ee47-57d7-4ff9-b27f-b2fd457f0e33,Faridabad,Chennai,Aligarh -> Chennai via NH16,Faridabad -> Lucknow via NH33,2020-08-04 08:43:23,2019-01-02 18:48:08,17.685,DEL-ERR-36745,GEN-e5c41b,Kanpur_WH,Rivigo_ALT_WH_20,Refund/Return,0,0,0,0,0,SafeTrans,,,
DHL Express India,LIC-001006,4fbbe8d4-7c17-4e2a-a894-163bb7438c9e,Bhopal,Cuttack,Thane -> Nagpur via NH21,Cuttack -> Pune via NH17 via_alt_14,2019-01-18 07:10:52,2019-08-04 14:35:31,22.7278,GEN-f348f1,GEN-70b9a1,Jalandhar_WH,Kanpur_WH,No Complaint,0,0,-1,2,0,LogiTrust,,,
Prime Couriers,LIC-001001,3f533a45-3b90-4af4-bb0f-d8bbd4ca092a,Coimbatore,Udaipur,Coimbatore -> Jaipur via NH17,Aligarh -> Jaipur via NH31,2018-03-23 17:38:41,2019-03-08 20:50:24,15.5957,GEN-509534,GEN-c83a22,Nashik_WH,RedExpress Logistics_ALT_WH_13,No Complaint,0,0,0,2,0,LogiTrust,,,
Sical,LIC-001020,e465a7e6-4422-4dec-98cb-bc232563af27,Kolkata,Cuttack,Pimpri -> Amritsar via NH62,Hyderabad -> Vadodara via NH49,2019-02-01 19:57:17,2019-07-30 13:48:26,27.0136,GEN-29fedf,GEN-c2afe4,Noida_WH,RedExpress Logistics_ALT_WH_28,Refund/Return,0,0,0,-1,0,LogiTrust,,,
Coastal Cargo,LIC-001002,027c8356-7e06-4771-b39c-55787cb28c45,Patna,Nagpur,Siliguri -> Jodhpur via NH65,Jodhpur -> Thane via NH30,2019-04-05 19:01:29,2020-09-01 10:02:43,23.7888,GEN-0baf30,GEN-14e02f,Kolkata_WH,RedExpress Logistics_ALT_WH_8,Refund/Return,0,0,0,-1,0,CargoPro,,,
Blue Dart,LIC-001009,a6124205-6de0-4cec-99a7-7a31d0bd9816,Madurai,Surat,Jalandhar -> Udaipur via NH23,Kanpur -> Chennai via NH24,2020-03-22 00:48:11,2018-09-22 00:40:47,4.107,GEN-3bdb93,GEN-61b3d8,Patna_WH,Delhivery_ALT_WH_15,No Complaint,0,0,0,3,0,LogiTrust,,,
Rivigo,LIC-001003,041016ba-707c-4dda-b37f-1c44091d78c1,Patna,Meerut,Siliguri -> Surat via NH41,Patna -> Bengaluru via NH31,2019-01-24 10:51:53,2019-09-04 18:33:55,17.2308,GEN-bde830,GEN-121098,Jodhpur_WH,Lucknow_WH,Refund/Return,0,0,0,-1,0,CargoPro,,,
Ecom Express,LIC-001021,7aff35a6-1d07-444a-9d81-d9707838cd2e,Madurai,Rourkela,Ahmedabad -> Mumbai via NH63,Amritsar -> Thane -> Madurai via NH61,2019-12-02 01:17:59,2019-05-03 18:35:23,29.903,GEN-bc3d1f,GEN-19c942,Amritsar_WH,Gateway Distriparks_ALT_WH_36,No Complaint,0,0,0,4,1,CargoPro,1.0,,
Blue Dart,LIC-001010,ebc05a88-8bce-4a71-94be-702b74f2e6aa,Rajkot,Mysore,Amritsar -> Rajkot via NH13,Ahmedabad -> Pimpri -> Bengaluru via NH36,2018-03-22 19:31:30,2019-10-25 07:58:03,11.4343,GEN-36332d,GEN-4355a5,Mumbai_WH,Vijayawada_WH,Refund/Return,1,0,0,6,1,LogiTrust,,,1.0
Rivigo,LIC-001007,b63bf3ce-55eb-4211-9a6a-9879c356ef2f,Nagpur,Bhopal,Bhopal -> Udaipur via NH7,Thane -> Bhopal via NH1,2020-11-22 20:49:36,2019-10-27 22:31:32,26.2856,GEN-e6e1a2,GEN-673cd4,Faridabad_WH,Ecom Express_ALT_WH_5,No Complaint,0,0,0,2,1,GhostLogi,1.0,,
National Cargo,LIC-001016,72eab02d-d8ce-45c7-a1ab-72098da247ab,Hyderabad,Chennai,Udaipur -> Noida via NH6,Vijayawada -> Mumbai via NH39,2020-10-03 00:58:03,2019-10-10 17:14:51,25.5118,GEN-bcf25e,GEN-1ce0c5,Mysore_WH,RedExpress Logistics_ALT_WH_48,Refund/Return,0,0,0,2,0,LogiTrust,,,
Snowman Logistics,LIC-001008,fb691b27-641b-4262-ba16-cba13d59f062,Vadodara,Jalandhar,Vijayawada -> Siliguri via NH58,Cuttack -> Hyderabad via NH14,2018-12-05 18:38:37,2019-06-22 14:25:22,23.7816,GEN-658773,GEN-3af3f4,Pimpri_WH,Gateway Distriparks_ALT_WH_6,Refund/Return,0,0,0,2,0,LogiTrust,,,
Vijay Packers,LIC-001024,bd6a04b9-e4c4-4d21-84e9-f8b35594df70,Siliguri,Indore,Mysore -> Visakhapatnam via NH4,Meerut -> Pimpri via NH7 via_alt_53,2019-03-18 00:52:34,2018-08-01 06:54:39,32.2212,GEN-5182d8,GEN-2ed7fe,Coimbatore_WH,Gateway Distriparks_ALT_WH_15,No Complaint,0,0,0,-2,0,SafeTrans,,,
Om Logistics,LIC-001017,db24385d-4e41-4d63-b593-d4a1985cfb11,Cuttack,Surat,Jaipur -> Pune via NH64,Kanpur -> Indore via NH43,2019-08-30 18:26:00,2020-09-25 21:59:57,21.2089,GEN-8eb988,GEN-4272c1,Lucknow_WH,RedExpress Logistics_ALT_WH_32,No Complaint,0,0,0,0,1,ScamTrans,,,
Ecom Express,LIC-001005,2fb9311e-4783-4d42-8d13-6f403105cec0,Pune,Lucknow,Meerut -> Amritsar via NH6,Patna -> Pune via NH28,2018-03-22 10:46:10,2020-04-17 02:01:52,13.2967,GEN-ca4521,GEN-bbd906,Mumbai_WH,Om Logistics_ALT_WH_35,Refund/Return,0,0,0,2,0,SafeTrans,,,
FedEx India,LIC-001019,6ff69a2c-056b-45ce-985f-e078fa2faece,Hyderabad,Rajkot,Vijayawada -> Patna via NH46,Bengaluru -> Bhagalpur via NH57,2020-04-22 07:52:54,2020-04-08 22:14:47,28.1762,GEN-ec1e04,GEN-16ab9b,Agra_WH,Gateway Distriparks_ALT_WH_33,No Complaint,0,0,-1,2,0,LogiTrust,,,
Coastal Cargo,LIC-001021,ed313ef4-634a-45c8-8d76-e4dffbb3588d,Siliguri,Nagpur,Jodhpur -> Aligarh via NH50,Chennai -> Agra -> Nashik via NH12,2020-12-27 19:43:20,2018-12-06 18:38:37,14.7969,GEN-378dcb,GEN-cc24c2,Nashik_WH,Rivigo_ALT_WH_18,No Complaint,0,0,0,6,0,LogiTrust,,,
VRL Logistics,LIC-001018,cb8463f6-b21d-4933-871c-f5905bb93537,Siliguri,Meerut,Meerut -> Jalandhar via NH15,Vijayawada -> Bhagalpur via NH16 via_alt_66,2019-03-23 12:03:17,2020-12-17 21:30:33,20.4765,GEN-e18129,GEN-779187,Pune_WH,Delhivery_ALT_WH_30,Refund/Return,0,0,0,2,0,SafeTrans,,,
VRL Logistics,LIC-001007,56b41d90-3d7b-4bae-943d-2dc0024a21f3,Agra,Madurai,Aligarh -> Chennai via NH36,Udaipur -> Thane via NH40,2019-11-03 08:03:07,2018-09-25 20:19:17,18.882,GEN-dc0a13,GEN-70b9a6,Thane_WH,Mahindra Logistics_ALT_WH_12,Refund/Return,0,0,0,4,0,SafeTrans,,,
Rivigo,LIC-001019,2fb9311e-4783-4d42-8d13-6f403105cec0,Visakhapatnam,Coimbatore,Noida -> Aligarh via NH52,Madurai -> Patna via NH31,2019-08-08 06:36:47,2018-09-14 01:02:28,24.246,GEN-d1876b,GEN-a683fb,Bhopal_WH,Delhivery_ALT_WH_3,Refund/Return,0,0,0,-1,0,LogiTrust,,,
Delhivery,LIC-001020,38970062-812f-4942-9046-686883d24302,Hyderabad,Delhi,Jodhpur -> Madurai via NH23,Kolkata -> Meerut -> Chennai via NH6,2019-04-12 08:50:39,2020-05-30 20:43:28,13.2589,GEN-183943,GEN-dd7fa4,Nagpur_WH,Gateway Distriparks_ALT_WH_34,Refund/Return,1,0,0,1,1,ScamTrans,,,1.0
Aparna Freight,LIC-001006,46fd0de6-2958-4198-887e-d2cc5affd86b,Nashik,Indore,Noida -> Hyderabad via NH45,Bhopal -> Kolkata via NH50,2019-04-01 09:31:44,2020-03-30 08:54:20,18.8353,GEN-2bf51b,GEN-521a56,Cuttack_WH,Gateway Distriparks_ALT_WH_6,No Complaint,0,0,1,3,0,SafeTrans,,,
Safexpress,LIC-001011,8b4dd100-08b3-43f8-bfc0-cfe9b7f96e96,Thane,Pune,Bhagalpur -> Guwahati via NH50,Thane -> Pune via NH37,2020-04-26 22:06:41,2019-12-10 08:28:39,11.181,GEN-2e655d,GEN-ccfe2a,Hyderabad_WH,Meerut_WH,Refund/Return,0,0,0,-1,1,CargoPro,1.0,,1.0
Shree Logistics,LIC-001017,6f26c8d4-e419-44fa-864d-fc2b08db8bab,Bhagalpur,Agra,Hyderabad -> Agra via NH20,Indore -> Udaipur -> Madurai via NH11,2019-11-02 23:58:52,2020-05-27 04:18:05,23.5505,GEN-d0c428,GEN-07a3da,Amritsar_WH,Mahindra Logistics_ALT_WH_24,Refund/Return,0,0,0,0,0,CargoPro,,,
UrbanMove Logistics,LIC-001003,4f488a54-c8ce-498f-93c6-c6f732c281e0,Nashik,Surat,Chennai -> Noida via NH42,Kolkata -> Bengaluru via NH64 via_alt_54,2020-03-16 13:28:55,2018-08-13 11:12:58,21.8978,GEN-a6ee14,GEN-ada491,Aligarh_WH,Mumbai_WH,No Complaint,0,0,0,3,0,CargoPro,,,
Blue Dart,LIC-001023,706a4185-2947-4e30-9139-6b7b5987b5e4,Amritsar,Jalandhar,Udaipur -> Kanpur via NH34,Siliguri -> Amritsar -> Faridabad via NH43,2018-01-01 23:55:29,2020-02-10 10:17:45,20.0658,GEN-0e5e24,GEN-eda648,Jaipur_WH,TCI Express_ALT_WH_44,Refund/Return,0,0,0,-2,0,SafeTrans,,,
Aparna Freight,LIC-001008,f3d67bc5-40eb-41bb-8893-042da85c8164,Aligarh,Amritsar,Lucknow -> Faridabad via NH25,Rajkot -> Meerut via NH19,2018-11-12 05:20:21,2020-02-06 06:22:37,20.3653,GEN-44cf2b,GEN-0c9bce,Mysore_WH,Ecom Express_ALT_WH_20,1,1,0,0,1,1,CargoPro,1.0,,1.0
Himalayan Transporters,LIC-001008,67c607da-6dcc-4159-be15-12c815a7bb29,Ahmedabad,Cuttack,Delhi -> Jodhpur via NH13,Bhagalpur -> Meerut via NH60,2020-06-07 10:11:14,2019-01-02 18:48:08,30.865,GEN-8dbb29,GEN-05cec0,Amritsar_WH,Amritsar_WH,Refund/Return,0,0,0,7,0,SafeTrans,,,
ExpressWays,LIC-001022,4ad3e431-45f6-490e-9363-ab0ec4ed5ab5,Bhopal,Vadodara,Bhopal -> Amritsar via NH27,Jalandhar -> Kolkata via NH2,2018-08-27 04:33:24,2018-04-11 18:37:30,25.4422,DEL-ERR-34519,GEN-8d137e,Thane_WH,Thane_WH,No Complaint,0,0,0,0,0,CargoPro,,,
Coastal Cargo,LIC-001021,aca1ef96-49a4-4077-a8df-d23f287121ea,Jalandhar,Nashik,Agra -> Indore via NH35,Rourkela -> Vijayawada via NH4,2018-11-11 19:00:33,2020-03-25 19:47:32,32.2916,GEN-15e5b3,GEN-60c776,Delhi_WH,Vijay Packers_ALT_WH_30,Refund/Return,0,0,0,0,0,LogiTrust,,,
Gateway Distriparks,LIC-001013,c24bdc2b-c9d2-493c-a0f3-a250daaccbe9,Siliguri,Lucknow,Mumbai -> Mysore via NH25,Nashik -> Vijayawada via NH39,2020-07-21 02:51:46,2020-05-16 18:07:13,18.3231,GEN-f740d5,GEN-bf8c85,Surat_WH,Delhivery_ALT_WH_20,No Complaint,0,0,0,-1,0,LogiTrust,,,
DTDC,LIC-001002,725af18d-25f3-45f7-8ad0-3aa57e67f14a,Noida,Indore,Rourkela -> Cuttack via NH14,Jalandhar -> Siliguri via NH47,2019-08-20 02:29:42,2019-03-09 08:10:54,18.1727,GEN-ccc356,GEN-17cf0b,Patna_WH,Noida_WH,Refund/Return,0,0,0,3,0,SafeTrans,,,
Allcargo,LIC-001010,6c3f53d5-0f4a-41de-b7cd-e2143e523da0,Mumbai,Guwahati,Kolkata -> Pimpri via NH26,Madurai -> Rajkot via NH34,2019-05-24 15:53:15,2019-12-14 11:53:43,19.942,GEN-f9e24c,GEN-d836ff,Rajkot_WH,Mahindra Logistics_ALT_WH_35,No Complaint,0,0,0,-2,0,LogiTrust,,,
Gati,LIC-001012,7e9adfd5-a594-4df1-9a1f-e2ef908e6eaf,Hyderabad,Bhopal,Noida -> Indore via NH5,Jalandhar -> Nashik via NH55 via_alt_64,2020-06-04 19:05:04,2019-04-13 11:15:33,17.667,GEN-dc4b6a,GEN-31e81e,Pune_WH,Rajkot_WH,Refund/Return,0,0,0,-3,0,LogiTrust,,,
Blue Dart,LIC-001019,d1af2f9c-6b9f-469f-a218-08741c677a02,Lucknow,Patna,Kolkata -> Kanpur via NH18,Ahmedabad -> Thane via NH28,2019-04-04 03:17:38,2018-08-10 05:08:54,19.2214,GEN-8d49e9,GEN-e637ad,Mumbai_WH,Mahindra Logistics_ALT_WH_47,Refund/Return,0,0,0,-1,0,CargoPro,,,
TCI Express,LIC-001005,f35c581f-cd6c-4be5-b066-e2a945c7f46b,Cuttack,Thane,Meerut -> Nagpur via NH13,Chennai -> Nagpur via NH32,2020-10-19 01:50:14,2020-04-24 13:39:06,29.5299,GEN-3a490f,GEN-5063d1,Nagpur_WH,Ecom Express_ALT_WH_45,No Complaint,0,0,0,6,0,SafeTrans,,,
Gateway Distriparks,LIC-001014,3b96a76d-52dc-4250-bf35-a533bc47dd19,Coimbatore,Coimbatore,Lucknow -> Nagpur via NH30,Lucknow -> Chennai via NH9,2020-08-01 16:11:43,2018-12-18 01:27:13,25.9868,GEN-82e409,GEN-74f508,Jalandhar_WH,RedExpress Logistics_ALT_WH_21,No Complaint,0,0,0,1,0,CargoPro,,,
Shree Logistics,LIC-001005,9166adbd-ef6b-4a5f-8e95-0c9269b118c9,Jalandhar,Rourkela,Noida -> Siliguri via NH51,Agra -> Kanpur via NH22,2020-06-13 22:43:51,2018-01-14 16:52:32,29.8689,GEN-5b15c9,GEN-b4819b,Agra_WH,RedExpress Logistics_ALT_WH_13,No Complaint,0,0,0,0,0,CargoPro,,,
Karla Transports,LIC-001020,7daf6a7e-625a-4092-804e-46438ecea2ce,Jaipur,Surat,Jodhpur -> Amritsar via NH61,Delhi -> Nashik via NH38 via_alt_9,2018-08-30 16:44:38,2020-01-27 06:55:27,16.7469,GEN-7e1756,GEN-67d283,Vadodara_WH,Mysore_WH,No Complaint,0,0,-1,2,0,CargoPro,,,
RapidShip India,LIC-001004,09cc0ea8-a205-4c9a-8a52-75b802a292d3,Meerut,Udaipur,Cuttack -> Vijayawada via NH40,Meerut -> Faridabad via NH19,2019-12-03 13:09:47,2019-10-26 03:45:17,17.1894,GEN-b2fa92,GEN-7282a4,Indore_WH,Mahindra Logistics_ALT_WH_39,Refund/Return,0,0,0,4,0,CargoPro,,,
DHL Express India,LIC-001021,154a5ab2-c420-46e8-883d-00ece7abf9e3,Lucknow,Pimpri,Rourkela -> Bhagalpur via NH3,Coimbatore -> Cuttack via NH22,2018-03-31 01:29:20,2018-03-13 08:31:34,12.2,GEN-1ff702,GEN-59d45e,Pune_WH,Rivigo_ALT_WH_14,No Complaint,1,0,0,-2,0,CargoPro,,,
National Cargo,LIC-001022,ff35bbaf-35d1-4c93-8a19-6746c629362a,Vadodara,Kanpur,Bhopal -> Mysore via NH46,Vadodara -> Delhi via NH30,2020-07-20 00:34:32,2019-01-23 08:14:54,19.5183,GEN-b6d8ba,GEN-cac92a,Udaipur_WH,Cuttack_WH,No Complaint,1,0,0,1,1,CargoPro,,,1.0
Gati,LIC-001010,725af18d-25f3-45f7-8ad0-3aa57e67f14a,Patna,Faridabad,Aligarh -> Pune via NH7,Bengaluru -> Pune via NH59 via_alt_94,2020-11-29 04:46:16,2019-11-22 15:12:15,17.9959,GEN-5a30c6,GEN-a62d77,Pimpri_WH,Rivigo_ALT_WH_4,Refund/Return,0,0,0,4,0,CargoPro,,,
UrbanMove Logistics,LIC-001011,02734025-4ef5-4c0d-a6a5-4d2531e3c10e,Bhagalpur,Bhagalpur,Kanpur -> Patna via NH10,Bengaluru -> Delhi via NH46,2020-11-24 02:29:47,2020-01-04 18:42:44,18.4617,DEL-ERR-90905,GEN-14ea7b,Jodhpur_WH,Mahindra Logistics_ALT_WH_46,No Complaint,0,0,0,3,0,SafeTrans,,,
Vijay Packers,LIC-001002,fc8916cb-fd3a-425b-98bc-0e2e30c27eb4,Jalandhar,Kanpur,Surat -> Vadodara via NH5,Jodhpur -> Amritsar via NH61 via_alt_45,2020-11-02 04:28:07,2020-02-26 07:11:02,16.4347,GEN-6217ec,GEN-9a4973,Patna_WH,VRL Logistics_ALT_WH_13,No Complaint,0,0,1,2,0,LogiTrust,,,
